own_mmsi;obst_mmsi;own_speed;obst_speed;r_maneuver_own;r_maneuver_obst;r_cpa;COLREG;pre_man_t_cpa_own
219455000;205453000;8.44975;8.3645451389;6421.8350025518;7415.4563514325;1015.530994111;3;
205453000;219455000;8.3645451389;8.44975;7415.4563514325;6421.8350025518;1015.530994111;3;8
219455000;205453000;8.44975;8.3645451389;6421.8350025518;7415.4563514325;1015.530994111;3;
205453000;219455000;8.2680137311;8.4444886364;7415.5551895998;9426.4055641586;1015.530994111;3;40
219455000;205453000;8.4444886364;8.2680137311;9426.4055641586;7415.5551895998;1015.530994111;3;
205453000;219455000;8.2680137311;8.4444886364;7415.5551895998;9426.2926095046;1015.530994111;3;19
219455000;205453000;8.4444886364;8.2680137311;9426.2926095046;7415.5551895998;1015.530994111;3;
205453000;219455000;8.2680137311;8.4444886364;7415.5551895998;9426.4055641586;1015.530994111;3;40
219455000;205453000;8.4444886364;8.2680137311;9426.4055641586;7415.5551895998;1015.530994111;3;
205453000;219455000;8.2680137311;8.4444886364;7415.5551895998;9426.2926095046;1015.530994111;3;19
219455000;205453000;8.4444886364;8.2680137311;9426.2926095046;7415.5551895998;1015.530994111;3;
255805883;636017647;7.1891601563;6.5799320023;6326.7427322438;8795.8622573344;1015.6103386634;3;17
636017647;255805883;6.5799320023;7.1891601563;8795.8622573344;6326.7427322438;1015.6103386634;3;
255805883;636017647;7.1891601563;6.5799320023;6326.7427322438;8795.8622573344;1015.6103386634;3;17
636017647;255805883;6.5799320023;7.1891601563;8795.8622573344;6326.7427322438;1015.6103386634;3;
566473000;220329000;8.0199902982;1.3494118924;4636.3520800302;4636.3520800302;1015.7169339929;-2;
220043000;220544000;1.2824508619;3.5165665303;4904.2222828905;4904.2222828905;1015.7671829706;-1;
257340000;311046700;4.6673201885;6.0412772817;9961.2813116587;9961.2813116587;1015.9054778866;3;
311046700;257340000;6.0412772817;4.6673201885;9961.2813116587;9961.2813116587;1015.9054778866;3;
257340000;311046700;4.6673201885;6.0412772817;9961.2813116587;9961.2813116587;1015.9054778866;3;
311046700;257340000;6.0412772817;4.6673201885;9961.2813116587;9961.2813116587;1015.9054778866;3;
247311100;219013539;11.5096896701;4.5139485677;10864.038244594;10864.038244594;1016.2336001137;-1;
219170000;219023738;8.4832565789;4.3975269554;6972.4465505302;6972.4465505302;1016.3028387248;-1;
230965000;238251000;6.4201059028;7.0072960069;7774.1167633372;7774.1167633372;1016.6888412882;3;
238251000;230965000;7.0072960069;6.4201059028;7774.1167633372;7774.1167633372;1016.6888412882;3;
230965000;238251000;6.4201059028;7.0072960069;7774.1167633372;7774.1167633372;1016.6888412882;3;
238251000;230965000;7.0072960069;6.4201059028;7774.1167633372;7774.1167633372;1016.6888412882;3;
219013485;219000897;1.3885980903;1.3187206045;4982.370231125;4982.370231125;1016.7617469201;-1;
219013485;219000897;1.3885980903;1.3187206045;4982.370231125;4982.370231125;1016.7617469201;-1;
257889670;257340000;2.7679522569;4.7634340278;14504.1220158271;14060.9607922076;1016.7732146354;3;124
257889670;257340000;2.7679522569;4.7634340278;14504.1220158271;14060.9607922076;1016.7732146354;3;124
375103000;257882000;3.674292173;2.9324338108;1815.2305197963;1564.3225530561;1016.8557026442;-2;30
375103000;257882000;3.674292173;2.9324338108;1564.3225530561;1564.3225530561;1016.9663219596;-2;
636012659;371830000;7.4835590278;3.9379845328;10058.4879072354;11309.0276456466;1017.029812739;-1;31
636012659;371830000;7.4835590278;3.9379845328;10058.4879072354;11309.0276456466;1017.029812739;-1;31
244690752;314439000;5.3037011719;6.3848383247;10051.6828387091;10051.6828387091;1017.1040556403;3;
314439000;244690752;6.3848383247;5.3037011719;10051.6828387091;10051.6828387091;1017.1040556403;3;
244690752;314439000;5.3037011719;6.3848383247;10051.6828387091;10051.6828387091;1017.1040556403;3;
314439000;244690752;6.3848383247;5.3037011719;10051.6828387091;10051.6828387091;1017.1040556403;3;
231774000;219008544;7.8657081887;1.4707383898;5170.516043878;2247.555872498;1017.5966293183;-2;54
255806119;236584000;5.7523328993;5.1766642072;1962.4454056101;1962.4454056101;1018.0964639954;-2;
265630670;255806082;4.7191508838;8.1222301136;3245.3340844973;1966.6175835683;1018.2536520926;-1;9
220099000;220359000;1.3578519965;1.3373546007;6744.9933936217;6744.9933936217;1018.3985271003;3;
220099000;220359000;1.3557276166;1.3703686136;4511.4802049882;4996.7769612021;1018.3985271003;3;95
220359000;220099000;1.3373546007;1.3578519965;6744.9933936217;6744.9933936217;1018.3985271003;3;
220359000;220099000;1.3703686136;1.3557276166;4996.7769612021;4511.4802049882;1018.3985271003;3;
220099000;220359000;1.3578519965;1.3373546007;6744.9933936217;6744.9933936217;1018.3985271003;3;
220099000;220359000;1.3557276166;1.3703686136;4511.4802049882;4996.7769612021;1018.3985271003;3;95
220359000;220099000;1.3373546007;1.3578519965;6744.9933936217;6744.9933936217;1018.3985271003;3;
220359000;220099000;1.3703686136;1.3557276166;4996.7769612021;4511.4802049882;1018.3985271003;3;
220099000;220359000;1.3578519965;1.3373546007;6745.0807059664;6745.0807059664;1018.4336846354;3;
220099000;220359000;1.3557276166;1.3703686136;4511.563947236;4996.7769612021;1018.4336846354;3;86
220359000;220099000;1.3373546007;1.3578519965;6745.0807059664;6745.0807059664;1018.4336846354;3;
220359000;220099000;1.3703686136;1.3557276166;4996.7769612021;4511.563947236;1018.4336846354;3;
220099000;220359000;1.3578519965;1.3373546007;6745.0807059664;6745.0807059664;1018.4336846354;3;
220099000;220359000;1.3557276166;1.3703686136;4511.563947236;4996.7769612021;1018.4336846354;3;86
220359000;220099000;1.3373546007;1.3578519965;6745.0807059664;6745.0807059664;1018.4336846354;3;
220359000;220099000;1.3703686136;1.3557276166;4996.7769612021;4511.563947236;1018.4336846354;3;
219019555;258216000;6.7800681584;3.5324143197;5979.5321430694;3794.9910381976;1019.1828099021;-1;26
265630670;255806082;4.7017695933;8.0637444196;3583.7144152402;4622.7813792132;1019.3214654858;-1;24
259490000;257026430;13.3962251984;2.8882955109;4067.2414361579;4067.2414361579;1019.896117259;-1;
257887630;258111430;2.7479739945;4.3385317202;3840.0236731041;7302.6623117874;102.0177435547;3;43
258111430;257887630;4.3385317202;2.7479739945;7302.6623117874;3840.0236731041;102.0177435547;3;
355249000;220137000;8.9653692575;4.2086131143;12822.7894640753;6651.5897678675;1020.22436748;-1;48
355249000;220137000;8.9653692575;4.2086131143;12822.7894640753;6651.5897678675;1020.22436748;-1;48
219347000;236125000;8.4871850198;5.4539149306;1109.1230770298;1109.1230770298;1020.4803035826;-1;
257386700;258093920;4.0950581597;3.1795078125;6453.6314257943;6453.6314257943;1021.0655267905;-1;59
209950000;305371000;4.7904768105;4.8722941468;10935.307901015;10935.307901015;1021.0949613038;3;
305371000;209950000;4.8722941468;4.7904768105;10935.307901015;10935.307901015;1021.0949613038;3;
209950000;305371000;4.7904768105;4.8722941468;10935.307901015;10935.307901015;1021.0949613038;3;
305371000;209950000;4.8722941468;4.7904768105;10935.307901015;10935.307901015;1021.0949613038;3;
219000552;257340000;5.7616629464;5.4315228175;11811.5982038842;12482.3240019637;1021.1682182677;3;30
219000552;257340000;5.7616629464;5.4315228175;11811.5982038842;12482.3240019637;1021.1682182677;3;30
220253000;244750397;8.9063194444;3.4466629464;8207.0859414289;8207.0859414289;1021.2322164914;3;
244750397;220253000;3.4466629464;8.9063194444;8207.0859414289;8207.0859414289;1021.2322164914;3;
220253000;244750397;8.9063194444;3.4466629464;8207.0859414289;8207.0859414289;1021.2322164914;3;
244750397;220253000;3.4466629464;8.9063194444;8207.0859414289;8207.0859414289;1021.2322164914;3;
229678000;211931000;5.2427296402;3.8725828598;3393.205664265;3101.3392800531;1021.282747333;-1;71
258747000;258761000;4.8785141782;4.8959302662;9479.1760132408;9479.1760132408;1021.3096934819;3;
